,name,rating,price,zip_code,categories,cuisine,borough,borough,medincome,population,foreign born persons pct,whitenolatino
0,Piccoli Trattoria,4.5,2,11215,"Italian, Pasta Shops, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
1,Osteria Brooklyn,4.5,3,11205,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
2,Cent'Anni,4.0,2,11238,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
3,Ammazzacaffè,4.5,2,11211,"Cocktail Bars, Italian, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
4,Evelina,4.5,2,11205,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
5,Camillo,4.0,2,11225,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
6,Mariella,4.5,2,11215,"Italian, Gluten-Free, Salad",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
7,Positano Restaurant,4.5,3,11209,"Italian, Gluten-Free, Seafood",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
8,Barboncino Pizza & Bar,4.5,2,11238,"Pizza, Bars, Italian",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
9,Da Andrea - Greenwich Village,4.5,2,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
10,Michael's of Brooklyn,4.5,3,11229,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
11,Montesacro Pinseria Brooklyn,4.5,2,11211,"Italian, Pizza, Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
12,Brooklyn Roots Italian,4.5,3,11209,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
13,Il Posto,4.0,3,11234,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
14,Gino's Brick Oven Pizza & Trattoria,4.0,2,11225,"Italian, Pizza, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
15,Forma Pasta Factory,4.5,2,11238,"Italian, Pasta Shops, Salad",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
16,Gersi,4.5,2,11231,"Italian, Wine Bars, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
17,Bamonte's,4.0,2,11211,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
18,Lillo Cucina Italiana,5.0,2,11201,"Cafes, Italian",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
19,Terre,4.5,3,11215,"Italian, Wine Bars, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
20,Aita Trattoria,4.0,2,11238,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
21,Scottadito Osteria Toscana,4.0,3,11215,"Italian, Venues & Event Spaces",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
22,Da Nonna Rosa,4.0,2,11215,"Italian, Pizza, Venues & Event Spaces",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
23,Fragole Ristorante,4.5,2,11231,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
24,Gino's Restaurant,4.0,2,11209,"Pizza, Italian, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
25,Santa Panza,4.5,2,11221,"Pizza, Italian, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
