,name,rating,price,zip_code,categories,cuisine,borough
0,Piccoli Trattoria,4.5,2,11215,"Italian, Pasta Shops, Wine Bars",Italian,Brooklyn
1,Osteria Brooklyn,4.5,3,11205,Italian,Italian,Brooklyn
2,Cent'Anni,4.0,2,11238,Italian,Italian,Brooklyn
3,Ammazzacaffè,4.5,2,11211,"Cocktail Bars, Italian, Wine Bars",Italian,Brooklyn
4,Evelina,4.5,2,11205,Italian,Italian,Brooklyn
5,Camillo,4.0,2,11225,Italian,Italian,Brooklyn
6,Mariella,4.5,2,11215,"Italian, Gluten-Free, Salad",Italian,Brooklyn
7,Positano Restaurant,4.5,3,11209,"Italian, Gluten-Free, Seafood",Italian,Brooklyn
8,Barboncino Pizza & Bar,4.5,2,11238,"Pizza, Bars, Italian",Italian,Brooklyn
9,Da Andrea - Greenwich Village,4.5,2,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,Manhattan
10,Michael's of Brooklyn,4.5,3,11229,Italian,Italian,Brooklyn
11,Montesacro Pinseria Brooklyn,4.5,2,11211,"Italian, Pizza, Bars",Italian,Brooklyn
12,Brooklyn Roots Italian,4.5,3,11209,Italian,Italian,Brooklyn
13,Il Posto,4.0,3,11234,Italian,Italian,Brooklyn
14,Gino's Brick Oven Pizza & Trattoria,4.0,2,11225,"Italian, Pizza, Wine Bars",Italian,Brooklyn
15,Forma Pasta Factory,4.5,2,11238,"Italian, Pasta Shops, Salad",Italian,Brooklyn
16,Gersi,4.5,2,11231,"Italian, Wine Bars, Breakfast & Brunch",Italian,Brooklyn
17,Bamonte's,4.0,2,11211,Italian,Italian,Brooklyn
18,Lillo Cucina Italiana,5.0,2,11201,"Cafes, Italian",Italian,Brooklyn
19,Terre,4.5,3,11215,"Italian, Wine Bars, Breakfast & Brunch",Italian,Brooklyn
20,Aita Trattoria,4.0,2,11238,"Italian, Wine Bars, Cocktail Bars",Italian,Brooklyn
21,Scottadito Osteria Toscana,4.0,3,11215,"Italian, Venues & Event Spaces",Italian,Brooklyn
22,Da Nonna Rosa,4.0,2,11215,"Italian, Pizza, Venues & Event Spaces",Italian,Brooklyn
23,Fragole Ristorante,4.5,2,11231,"Italian, Wine Bars, Cocktail Bars",Italian,Brooklyn
24,Gino's Restaurant,4.0,2,11209,"Pizza, Italian, Wine Bars",Italian,Brooklyn
25,Santa Panza,4.5,2,11221,"Pizza, Italian, Breakfast & Brunch",Italian,Brooklyn
26,Pomp and Circumstance,5.0,3,11211,"Italian, Mediterranean, Middle Eastern",Italian,Brooklyn
27,Otis,5.0,3,11206,"New American, Cocktail Bars",Italian,Brooklyn
28,Aita,4.0,3,11238,"Italian, Wine Bars, Burgers",Italian,Brooklyn
29,Vetro Restaurant & Lounge,4.5,3,11414,"Italian, Lounges, Venues & Event Spaces",Italian,Queens
30,Fontanas's,4.0,2,11234,"Italian, Seafood, Wraps",Italian,Brooklyn
31,Mama Rao Cucina Italiana,4.5,3,11219,"Italian, Party & Event Planning",Italian,Brooklyn
32,L'Artusi,4.5,3,10014,"Italian, Cocktail Bars",Italian,Manhattan
33,Saraghina Pizzeria,4.0,2,11233,"Pizza, Italian, Bars",Italian,Brooklyn
34,Locanda Vini e Olii,4.0,3,11238,"Italian, Wine Bars",Italian,Brooklyn
35,Aurora,4.0,2,11249,"Italian, Comfort Food",Italian,Brooklyn
36,Roberta's,4.0,2,11206,"Pizza, Italian",Italian,Brooklyn
37,Lilia,4.0,0,11211,"Italian, Cocktail Bars",Italian,Brooklyn
38,Olio e Più,4.5,2,10014,"Pizza, Italian, Cocktail Bars",Italian,Manhattan
39,Naked Dog,4.5,2,11222,"Italian, Wine Bars, Cocktail Bars",Italian,Brooklyn
40,Testo,4.5,2,11206,"Italian, Gluten-Free, Breakfast & Brunch",Italian,Brooklyn
41,Graziella's,4.0,2,11205,"Italian, Pizza, Bars",Italian,Brooklyn
42,La Nonna Ristorante & Bar,4.0,2,11249,"Italian, Bars",Italian,Brooklyn
43,South Brooklyn Foundry,4.5,2,11209,"New American, Breakfast & Brunch, Burgers",American,Brooklyn
44,Sweet Brooklyn Bar And Grill,4.0,2,11216,"Gastropubs, American, Breakfast & Brunch",American,Brooklyn
45,Otis,5.0,3,11206,"New American, Cocktail Bars",American,Brooklyn
46,Midwood Flats,4.0,2,11225,"Cocktail Bars, Pubs, Bartenders",American,Brooklyn
47,The Brooklyn Tree,4.5,2,11206,"Comfort Food, New American, Breakfast & Brunch",American,Brooklyn
