name,rating,price,zip_code,categories,cuisine,borough
Osteria Brooklyn,4.5,$$$,11205,Italian,Italian,"Brooklyn, NY"
Piccoli Trattoria,4.5,$$,11215,"Italian, Pasta Shops, Wine Bars",Italian,"Brooklyn, NY"
Forma Pasta Factory,4.5,$$,11238,"Italian, Pasta Shops, Salad",Italian,"Brooklyn, NY"
Michael's of Brooklyn,4.5,$$$,11229,Italian,Italian,"Brooklyn, NY"
Lillo Cucina Italiana,5.0,$$,11201,"Cafes, Italian",Italian,"Brooklyn, NY"
Barbalu - Brooklyn,4.5,Not Available,11201,"Italian, Pizza, Bars",Italian,"Brooklyn, NY"
Cent'Anni,4.0,$$,11238,Italian,Italian,"Brooklyn, NY"
Ammazzacaffè,4.5,$$,11211,"Cocktail Bars, Italian, Wine Bars",Italian,"Brooklyn, NY"
Loreto Italian Kitchen & Bar,4.5,Not Available,11217,"Lounges, Italian, Wine Bars",Italian,"Brooklyn, NY"
Mariella,4.5,$$,11215,"Italian, Gluten-Free, Salad",Italian,"Brooklyn, NY"
Aita Trattoria,4.0,$$,11238,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY"
Positano Restaurant,4.5,$$$,11209,"Italian, Gluten-Free, Seafood",Italian,"Brooklyn, NY"
Botte Brooklyn,4.5,Not Available,11201,"Italian, Pizza",Italian,"Brooklyn, NY"
Fragole Ristorante,4.5,$$,11231,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY"
Mama Rao Cucina Italiana,4.5,$$$,11219,"Italian, Party & Event Planning",Italian,"Brooklyn, NY"
Scottadito Osteria Toscana,4.0,$$$,11215,"Italian, Venues & Event Spaces",Italian,"Brooklyn, NY"
Da Andrea - Greenwich Village,4.5,$$,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,"Brooklyn, NY"
Barboncino Pizza & Bar,4.5,$$,11238,"Pizza, Bars, Italian",Italian,"Brooklyn, NY"
Brooklyn Roots Italian,4.5,$$$,11209,Italian,Italian,"Brooklyn, NY"
Pecoraro Latteria,5.0,Not Available,11211,"Italian, Specialty Food, Sandwiches",Italian,"Brooklyn, NY"
Il Posto,4.0,$$$,11234,Italian,Italian,"Brooklyn, NY"
Testo,4.5,$$,11206,"Italian, Gluten-Free, Breakfast & Brunch",Italian,"Brooklyn, NY"
Saraghina Pizzeria,4.0,$$,11233,"Pizza, Italian, Bars",Italian,"Brooklyn, NY"
Gersi,4.5,$$,11231,"Italian, Wine Bars, Breakfast & Brunch",Italian,"Brooklyn, NY"
Gino's Brick Oven Pizza & Trattoria,4.0,$$,11225,"Italian, Pizza, Wine Bars",Italian,"Brooklyn, NY"
Bamonte's,4.0,$$,11211,Italian,Italian,"Brooklyn, NY"
ViaRoma,4.5,Not Available,11238,"Breakfast & Brunch, Italian",Italian,"Brooklyn, NY"
Lilia,4.0,$$$$,11211,"Italian, Cocktail Bars",Italian,"Brooklyn, NY"
Macosa Trattoria,4.5,Not Available,11216,"Italian, Comfort Food",Italian,"Brooklyn, NY"
Rustico Taverna,4.5,Not Available,11385,"Italian, Pizza",Italian,"Brooklyn, NY"
Don Angie,4.5,$$$,10014,"Italian, New American",Italian,"Brooklyn, NY"
